X_DIN_UTIL;X_LIB_DIN_UTIL;X_TYPE_DIN_UTIL;X_ABR_T_UTI;D_DEB_VAL;D_FIN_VAL;X_USER_CRE;D_MODIF;X_USER_MOD
6.2.A;BOX;6-2;LOCAUX AVEC EQUIP. MEDICAL SPECIALISE;17.11.2004 11:21:59;;TEVEZ;29.03.2007 15:56:03;CADI_LOC_INTERF_AFM;
4.1.Z;ABRI-DEPOT;4-1;LOCAUX DE STOCKAGE;26.11.2001 16:25:58;;LOCAUXII;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
7.7.Z18;ABRI-SAS;7-7;LOCAUX DE PROTECTION CIVILE;26.11.2001 16:25:58;;LOCAUXII;29.03.2007 15:56:03;CADI_LOC_INTERF_AFM;
7.7.Z5;ABRI-WC;7-7;LOCAUX DE PROTECTION CIVILE;26.11.2001 16:25:58;;LOCAUXII;29.03.2007 15:56:03;CADI_LOC_INTERF_AFM;
9.1.A;COULOIR-HALL;9-1;COULOIRS, HALLS;26.11.2001 16:25:58;;LOCAUXII;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
8.4.C;CITERNE-CARBURANT;8-4;GAZ (EXCEPTE POUR CHAUFFAGE), FLUIDES;26.11.2001 16:25:58;;LOCAUXII;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
8.5.T;ALIM. GYROTRON;8-5;ALIM. EN COURANT ELECTRIQUE;26.11.2001 16:25:58;;LOCAUXII;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
4.2.A;ARCHIVES-CLASSEMENT-RESERVE;4-2;LOCAUX D'ARCHIVE, COLLECTIONS;26.11.2001 16:25:58;;LOCAUXII;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
9.3.A;ASCENSEUR;9-3;GAINES POUR INSTALLATIONS DE TRANSPORT;26.11.2001 16:25:58;;LOCAUXII;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
1.4.A;ATTENTE;1-4;LOCAUX D'ATTENTE;26.11.2001 16:25:58;;LOCAUXII;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
5.1.A;AUDITOIRE;5-1;LOCAUX D'ENSEIGNEMENT AVEC MOBILIER FIXE;26.11.2001 16:25:58;;LOCAUXII;29.03.2007 15:56:03;CADI_LOC_INTERF_AFM;
8.5.L;STATION BT;8-5;ALIM. EN COURANT ELECTRIQUE;26.11.2001 16:25:58;;LOCAUXII;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
5.4.A;BIBLIOTHEQUE;5-4;BIBLIOTHEQUE;26.11.2001 16:25:58;;LOCAUXII;29.03.2007 15:56:03;CADI_LOC_INTERF_AFM;
3.9.C;BUANDERIE;3-9;LOCAUX POUR TRAVAUX SPECIAUX;26.11.2001 16:25:59;;LOCAUXII;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
2.1.A;BUREAU;2-1;BUREAUX;26.11.2001 16:25:59;;LOCAUXII;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
8.6.E;CABINE TELEPHONIQUE;8-6;TECHNIQUES DE COMMUNICATION;26.11.2001 16:25:59;;LOCAUXII;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
1.5.B;RESTAURANT SELF-SERVICE;1-5;LOCAUX DE RESTAURATION;26.11.2001 16:25:59;;LOCAUXII;16.01.2014 22:42:03;CADI_LOC_INTERF_AFM;
8.4.G;CITERNE-AZOTE;8-4;GAZ (EXCEPTE POUR CHAUFFAGE), FLUIDES;26.11.2001 16:25:59;;LOCAUXII;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
7.7.Z1;ABRI;7-7;LOCAUX DE PROTECTION CIVILE;26.11.2001 16:25:58;;LOCAUXII;29.03.2007 15:56:03;CADI_LOC_INTERF_AFM;
8.5.S;CENTRALE DETECTION INCENDIE;8-5;ALIM. EN COURANT ELECTRIQUE;26.11.2001 16:25:59;;LOCAUXII;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
8.2.A;CENTRALE SANITAIRE;8-2;ALIM. EN EAU;26.11.2001 16:25:59;;LOCAUXII;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
8.6.C;TT;8-6;TECHNIQUES DE COMMUNICATION;26.11.2001 16:25:59;;LOCAUXII;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
7.7.Z11;ABRI-DEPOT PC;7-7;LOCAUX DE PROTECTION CIVILE;29.03.2004 13:54:33;;RFAZAN;29.03.2007 15:56:03;CADI_LOC_INTERF_AFM;
7.4.Z;PARKING (ABRI);7-4;STATIONNEMENT DE VEHICULES;30.03.2004 12:07:22;;PPICHON;01.05.2007 20:19:06;CADI_LOC_INTERF_AFM;
7.7.Z13;ABRI-CUISINE;7-7;LOCAUX DE PROTECTION CIVILE;02.04.2004 16:04:19;;PPICHON;29.03.2007 15:56:03;CADI_LOC_INTERF_AFM;
1.0.A;CAVE;1-0;HABITAT ET SEJOUR;14.08.2007 20:31:34;;CADI_LOC_INTERF_AFM;;;
9.1.V;SAS ACCES SALLE GRISE;9-1;COULOIRS, HALLS;07.02.2008 20:35:41;;CADI_LOC_INTERF_AFM;;;
9.1.W;SAS ACCES SALLE BLANCHE;9-1;COULOIRS, HALLS;07.02.2008 20:35:41;;CADI_LOC_INTERF_AFM;;;
10.0.A;ESCALIER EXTERIEUR;10-0;AFFECTATIONS DIVERSES;22.01.2010 00:02:56;;CADI_LOC_INTERF_AFM;;;
9.9.0;DEGAGEMENT INACCESSIBLE;9-9;DEGAGEMENT;22.01.2010 00:02:56;;CADI_LOC_INTERF_AFM;22.08.2013 23:03:00;CADI_LOC_INTERF_AFM;
4.5.B;BANQUE;4-5;LOCAUX DE VENTE;22.01.2010 00:02:56;;CADI_LOC_INTERF_AFM;;;
4.5.L;LIBRAIRIE;4-5;LOCAUX DE VENTE;22.01.2010 00:02:56;;CADI_LOC_INTERF_AFM;;;
5.1.C;FOYER;5-1;LOCAUX D'ENSEIGNEMENT AVEC MOBILIER FIXE;22.01.2010 00:02:56;;CADI_LOC_INTERF_AFM;;;
9.3.I;ASCENSEUR INCLINE;9-3;GAINES POUR INSTALLATIONS DE TRANSPORT;29.01.2010 00:01:55;;CADI_LOC_INTERF_AFM;;;
3.5.P2;LABO DE BIOLOGIE 2;3-5;LABO CHIMIE, BACTERIOLOGIE, MORPHOLOGIE;22.03.2006 12:49:45;;RFAZAN;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
4.3.A;LOCAUX DE R�FRIG�RATION;4-3;LOCAUX DE REFRIGERATION, CONGELATION;22.03.2006 14:29:33;;RFAZAN;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
3.5.P3;LABO DE BIOLOGIE 3;3-5;LABO CHIMIE, BACTERIOLOGIE, MORPHOLOGIE;27.03.2006 11:13:32;;RFAZAN;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
3.5.G4;LABO DE BIOCHIMIE RADIOACTIVE;3-5;LABO CHIMIE, BACTERIOLOGIE, MORPHOLOGIE;27.03.2006 11:15:32;;RFAZAN;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
3.5.G5;LABO DE BIOCHIMIE GMP;3-5;LABO CHIMIE, BACTERIOLOGIE, MORPHOLOGIE;27.03.2006 11:16:22;;RFAZAN;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
3.5.J;LOCAL D'IRRADIATION;3-5;LABO CHIMIE, BACTERIOLOGIE, MORPHOLOGIE;27.03.2006 12:40:15;;RFAZAN;01.03.2013 22:55:31;CADI_LOC_INTERF_AFM;
3.5.K;LOCAL DE ST�RILISATION/DESTRUCTION;3-5;LABO CHIMIE, BACTERIOLOGIE, MORPHOLOGIE;27.03.2006 12:41:06;;RFAZAN;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
3.5.L;LABO DE MICROSCOPIE;3-5;LABO CHIMIE, BACTERIOLOGIE, MORPHOLOGIE;27.03.2006 12:42:00;;RFAZAN;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
3.5.M;LABO DE BIO-INFORMATIQUE;3-5;LABO CHIMIE, BACTERIOLOGIE, MORPHOLOGIE;27.03.2006 12:42:39;;RFAZAN;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
3.5.N;CHAMBRE NOIRE ABSOLUE;3-5;LABO CHIMIE, BACTERIOLOGIE, MORPHOLOGIE;27.03.2006 12:43:18;;RFAZAN;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
4.1.D;STOCKAGE CHIMIQUES;4-1;LOCAUX DE STOCKAGE;27.03.2006 14:30:39;;RFAZAN;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
4.1.B;LOCAUX DE STOCKAGE;4-1;LOCAUX DE STOCKAGE;27.03.2006 14:31:17;;RFAZAN;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
4.3.B;LOCAUX A T? CONTROLLEE;4-3;LOCAUX DE REFRIGERATION, CONGELATION;27.03.2006 14:34:07;;RFAZAN;16.08.2013 23:04:42;CADI_LOC_INTERF_AFM;
4.3.C;CRYOGENIE;4-3;LOCAUX DE REFRIGERATION, CONGELATION;27.03.2006 15:27:24;;RFAZAN;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
3.5.P1;LABO DE BIOCHIMIE 1-BIOLOGIE 1;3-5;LABO CHIMIE, BACTERIOLOGIE, MORPHOLOGIE;13.04.2006 14:51:19;;RFAZAN;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
3.9.B;LOCAL DE SERVICE;3-9;LOCAUX POUR TRAVAUX SPECIAUX;21.04.2006 11:09:38;;RFAZAN;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
1.5.D;CAFETERIA BAR;1-5;LOCAUX DE RESTAURATION;24.04.2006 12:44:19;;DESENEUX;16.01.2014 22:42:03;CADI_LOC_INTERF_AFM;
3.9.0;LOCAUX POUR TRAVAUX SPECIAUX;3-9;LOCAUX POUR TRAVAUX SPECIAUX;13.09.2005 15:56:50;;PPICHON;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
5.7.0;SCENES, STUDIOS;5-7;SCENES, STUDIOS;13.09.2005 15:56:50;;PPICHON;29.03.2007 15:56:03;CADI_LOC_INTERF_AFM;
5.2.C;SALLE DE TUTORAT;5-2;LOCAUX D'ENS.ET D'EX.GEN.SANS MOB.FIXE;07.06.2006 15:04:53;;PPICHON;16.01.2014 22:42:03;CADI_LOC_INTERF_AFM;
1.4.0;LOCAUX D'ATTENTE;1-4;LOCAUX D'ATTENTE;13.09.2005 15:56:50;;PPICHON;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
7.7.Z7;ABRI-CH. FILTRES;7-7;LOCAUX DE PROTECTION CIVILE;09.06.2006 10:26:44;;LOCAUXII;29.03.2007 15:56:03;CADI_LOC_INTERF_AFM;
7.7.Z8;ABRI-GAINE;7-7;LOCAUX DE PROTECTION CIVILE;09.06.2006 10:27:40;;LOCAUXII;29.03.2007 15:56:03;CADI_LOC_INTERF_AFM;
7.7.Z9;ABRI-PRISE D'AIR;7-7;LOCAUX DE PROTECTION CIVILE;09.06.2006 10:28:13;;LOCAUXII;29.03.2007 15:56:03;CADI_LOC_INTERF_AFM;
7.7.Z10;ABRI-VENTILATION;7-7;LOCAUX DE PROTECTION CIVILE;09.06.2006 10:28:54;;LOCAUXII;29.03.2007 15:56:03;CADI_LOC_INTERF_AFM;
1.4.B;REUNION-ATTENTE;1-4;LOCAUX D'ATTENTE;14.06.2006 15:45:44;;LOCAUXII;16.01.2014 22:42:03;CADI_LOC_INTERF_AFM;
2.1.0;BUREAUX;2-1;BUREAUX;13.09.2005 15:56:50;;PPICHON;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
5.4.0;BIBLIOTHEQUES;5-4;BIBLIOTHEQUE;15.06.2006 11:02:58;;LOCAUXII;29.03.2007 15:56:03;CADI_LOC_INTERF_AFM;
2.2.0;BUREAUX PAYSAGERS;2-2;BUREAUX PAYSAGERS;13.09.2005 15:56:50;;PPICHON;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
2.7.0;LOCAUX DE SURVEILLANCE;2-7;LOCAUX DE SURVEILLANCE;13.09.2005 15:56:50;;PPICHON;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
2.3.0;LOCAUX DE CONFERENCES;2-3;LOCAUX DE CONFERENCES;13.09.2005 15:56:50;;PPICHON;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
3.1.0;HALLES DE FABRICATION;3-1;HALLES DE FABRICATION;13.09.2005 15:56:50;;PPICHON;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
5.3.G;ENSEIGNEMENT INFORMATISE METIER;5-3;LOCAUX D'ENS.ET D'EX.SPEC.SANS MOB.FIXE;15.06.2006 15:44:33;;LOCAUXII;16.01.2014 22:42:03;CADI_LOC_INTERF_AFM;
7.7.Z17;ABRI-RESERVE EAU;7-7;LOCAUX DE PROTECTION CIVILE;02.04.2004 16:04:40;;PPICHON;29.03.2007 15:56:03;CADI_LOC_INTERF_AFM;
7.7.Z3;ABRI-LOCAL SANITAIRE;7-7;LOCAUX DE PROTECTION CIVILE;02.04.2004 16:05:32;;PPICHON;29.03.2007 15:56:03;CADI_LOC_INTERF_AFM;
5.9.A;AUMONERIE;5-9;LOCAUX DE CULTE;26.11.2001 16:25:59;;LOCAUXII;29.03.2007 15:56:03;CADI_LOC_INTERF_AFM;
8.3.A;CHAUFFAGE-EAU CHAUDE;8-3;CHAUFFAGE, PREP. EAU CHAUDE DOMESTIQUE;26.11.2001 16:25:59;;LOCAUXII;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
8.3.F;TURBINE A GAZ;8-3;CHAUFFAGE, PREP. EAU CHAUDE DOMESTIQUE;09.03.2005 13:54:00;;TEVEZ;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
3.8.D;LAVERIE REST.-CAFET.;3-8;CUISINES;04.08.2005 10:07:37;;PPICHON;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
5.4.E;BIBLIOTHEQUE NEBIS;5-4;BIBLIOTHEQUE;19.08.2005 13:00:00;;PPICHON;29.03.2007 15:56:03;CADI_LOC_INTERF_AFM;
1.2.0;LOCAUX COMMUNAUTAIRES;1-2;LOCAUX COMMUNAUTAIRES;13.09.2005 15:56:50;;PPICHON;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
1.5.0;LOCAUX DE RESTAURATION;1-5;LOCAUX DE RESTAURATION;13.09.2005 15:56:50;;PPICHON;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
1.6.0;LOCAUX DE DETENTION;1-6;LOCAUX DE DETENTION;13.09.2005 15:56:50;;PPICHON;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
2.0.0;TRAVAIL DE BUREAU;2-0;TRAVAIL DE BUREAU;13.09.2005 15:56:50;;PPICHON;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
2.4.0;LOCAUX DE DESSIN;2-4;LOCAUX DE DESSIN;13.09.2005 15:56:50;;PPICHON;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
2.5.0;GUICHETS;2-5;GUICHETS;13.09.2005 15:56:50;;PPICHON;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
2.6.0;LOCAUX DE CONTROLE;2-6;LOCAUX DE CONTROLE;13.09.2005 15:56:50;;PPICHON;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
2.8.0;LOCAUX DE BUREAUTIQUE;2-8;LOCAUX DE BUREAUTIQUE;13.09.2005 15:56:50;;PPICHON;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
3.0.0;PROD.,TRAV.D'ART.ET � LA MACHINE,RECH;3-0;PROD.,TRAV.D'ART.ET � LA MACHINE,RECH.;13.09.2005 15:56:50;;PPICHON;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
3.2.0;ATELIERS;3-2;ATELIERS;13.09.2005 15:56:50;;PPICHON;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
3.5.0;LABO CHIMIE, BACTERIOLOGIE, MORPHOLOGIE;3-5;LABO CHIMIE, BACTERIOLOGIE, MORPHOLOGIE;13.09.2005 15:56:50;;PPICHON;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
3.8.0;CUISINES;3-8;CUISINES;13.09.2005 15:56:50;;PPICHON;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
4.0.0;STOCKAGE, DISTRIBUTION ET VENTE;4-0;STOCKAGE, DISTRIBUTION ET VENTE;13.09.2005 15:56:50;;PPICHON;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
4.2.0;LOCAUX D'ARCHIVE, COLLECTIONS;4-2;LOCAUX D'ARCHIVE, COLLECTIONS;13.09.2005 15:56:50;;PPICHON;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
4.5.0;LOCAUX DE VENTE;4-5;LOCAUX DE VENTE;13.09.2005 15:56:50;;PPICHON;29.03.2007 15:56:03;CADI_LOC_INTERF_AFM;
4.6.0;LOCAUX D'EXPOSITION;4-6;LOCAUX D'EXPOSITION SUP4;13.09.2005 15:56:50;;PPICHON;29.03.2007 15:56:03;CADI_LOC_INTERF_AFM;
5.1.0;LOCAUX D'ENSEIGNEMENT AVEC MOBILIER FIXE;5-1;LOCAUX D'ENSEIGNEMENT AVEC MOBILIER FIXE;13.09.2005 15:56:50;;PPICHON;29.03.2007 15:56:03;CADI_LOC_INTERF_AFM;
5.5.0;LOCAUX DE SPORT;5-5;LOCAUX DE SPORT;13.09.2005 15:56:50;;PPICHON;29.03.2007 15:56:03;CADI_LOC_INTERF_AFM;
5.6.0;LOCAUX DE REUNION;5-6;LOCAUX DE REUNION;13.09.2005 15:56:50;;PPICHON;29.03.2007 15:56:03;CADI_LOC_INTERF_AFM;
5.9.0;LOCAUX DE CULTE;5-9;LOCAUX DE CULTE;13.09.2005 15:56:50;;PPICHON;29.03.2007 15:56:03;CADI_LOC_INTERF_AFM;
6.0.0;SOINS ET CONVALESCENCE;6-0;SOINS ET CONVALESCENCE;13.09.2005 15:56:50;;PPICHON;29.03.2007 15:56:03;CADI_LOC_INTERF_AFM;
6.1.0;LOCAUX AVEC EQUIPEMENT MEDICAL GENERAL;6-1;LOCAUX AVEC EQUIPEMENT MEDICAL GENERAL;13.09.2005 15:56:50;;PPICHON;29.03.2007 15:56:03;CADI_LOC_INTERF_AFM;
6.2.0;LOCAUX AVEC EQUIP. MEDICAL SPECIALISE;6-2;LOCAUX AVEC EQUIP. MEDICAL SPECIALISE;13.09.2005 15:56:50;;PPICHON;29.03.2007 15:56:03;CADI_LOC_INTERF_AFM;
6.3.0;LOCAUX INTERV.CHIR.,ENDOSC.,ACCOUCHEM.;6-3;LOCAUX INTERV.CHIR.,ENDOSC.,ACCOUCHEM.;13.09.2005 15:56:50;;PPICHON;29.03.2007 15:56:03;CADI_LOC_INTERF_AFM;
6.4.0;LOCAUX POUR RADIOSCOPIES;6-4;LOCAUX POUR RADIOSCOPIES;13.09.2005 15:56:50;;PPICHON;29.03.2007 15:56:03;CADI_LOC_INTERF_AFM;
6.5.0;LOCAUX POUR RADIOTHERAPIES;6-5;LOCAUX POUR RADIOTHERAPIES;13.09.2005 15:56:50;;PPICHON;29.03.2007 15:56:03;CADI_LOC_INTERF_AFM;
6.6.0;LOCAUX POUR PHYSIOTHERAPIES, REHABILIT.;6-6;LOCAUX POUR PHYSIOTHERAPIES, REHABILIT.;13.09.2005 15:56:50;;PPICHON;29.03.2007 15:56:03;CADI_LOC_INTERF_AFM;
6.8.0;LOCAUX AVEC LITS ET EQUIP. SPECIALISE;6-8;LOCAUX AVEC LITS ET EQUIP. SPECIALISE;13.09.2005 15:56:50;;PPICHON;29.03.2007 15:56:03;CADI_LOC_INTERF_AFM;
7.0.0;AUTRES AFFECTATIONS;7-0;AUTRES AFFECTATIONS;13.09.2005 15:56:50;;PPICHON;29.03.2007 15:56:03;CADI_LOC_INTERF_AFM;
7.5.0;LOCAUX ET ESPACES POUR VOYAGEURS;7-5;LOCAUX ET ESPACES POUR VOYAGEURS;13.09.2005 15:56:50;;PPICHON;29.03.2007 15:56:03;CADI_LOC_INTERF_AFM;
7.7.0;LOCAUX DE PROTECTION CIVILE;7-7;LOCAUX DE PROTECTION CIVILE;13.09.2005 15:56:50;;PPICHON;29.03.2007 15:56:03;CADI_LOC_INTERF_AFM;
8.0.0;INSTALLATIONS TECHNIQUES D'EXPLOITATION;8-0;INSTALLATIONS TECHNIQUES D'EXPLOITATION;13.09.2005 15:56:50;;PPICHON;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
8.2.0;ALIM. EN EAU;8-2;ALIM. EN EAU;13.09.2005 15:56:50;;PPICHON;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
8.5.0;ALIM. EN COURANT ELECTRIQUE;8-5;ALIM. EN COURANT ELECTRIQUE;13.09.2005 15:56:50;;PPICHON;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
8.7.0;INSTALLATIONS DE RENOUVELLEMENT D'AIR;8-7;INSTALLATIONS DE RENOUVELLEMENT D'AIR;13.09.2005 15:56:50;;PPICHON;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
8.9.0;AUTRES INSTALLATIONS TECHNIQUES D'EXPL.;8-9;INST. TECHNIQUES DIVERSES;13.09.2005 15:56:50;;PPICHON;04.02.2010 00:06:59;CADI_LOC_INTERF_AFM;
9.0.0;CIRCULATION ET ISSUES DE SECOURS;9-0;CIRCULATION ET ISSUES DE SECOURS;13.09.2005 15:56:50;;PPICHON;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
9.2.0;ESCALIERS;9-2;ESCALIERS;13.09.2005 15:56:50;;PPICHON;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
9.3.0;GAINES POUR INSTALLATIONS DE TRANSPORT;9-3;GAINES POUR INSTALLATIONS DE TRANSPORT;13.09.2005 15:56:50;;PPICHON;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
10.0.0;AFFECTATIONS DIVERSES;10-0;AFFECTATIONS DIVERSES;13.09.2005 15:56:50;;PPICHON;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
10.1.0;STATIONNEMENT DE VEHICULES EXTERIEUR;10-1;STATIONNEMENT DE VEHICULES (EXTERIEUR);13.09.2005 15:56:50;;PPICHON;01.05.2007 20:19:06;CADI_LOC_INTERF_AFM;
9.3.F;MONTE-CHARGE YC LOCAL TECHNIQUE;9-3;GAINES POUR INSTALLATIONS DE TRANSPORT;30.09.2005 11:13:39;;PPICHON;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
3.3.R;LABO. DE RECHERCHE;3-3;LABORATOIRES DE TECHNOLOGIE;04.10.2005;;RFAZAN;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
4.1.C;STOCKAGE BIOLOGIQUE;4-1;LOCAUX DE STOCKAGE;25.01.2006 15:38:59;;RFAZAN;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
1.3.0;LOCAUX DE DETENTE;1-3;LOCAUX DE DETENTE;30.10.2006 11:28:42;;VILADOMS;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
1.3.A;CAFETERIA;1-3;LOCAUX DE DETENTE;02.11.2006 12:33:52;;RFAZAN;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
1.1.0;HABITAT;1-1;HABITAT;03.11.2006 13:34:00;;RFAZAN;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
5.3.L;LABO TP BIOL. FIGE.;5-3;LOCAUX D'ENS.ET D'EX.SPEC.SANS MOB.FIXE;27.11.2006 15:10:40;;PPICHON;29.03.2007 15:56:03;CADI_LOC_INTERF_AFM;
5.3.K;ATELIER D'ARCHITECTURE;5-3;LOCAUX D'ENS.ET D'EX.SPEC.SANS MOB.FIXE;03.11.2006 15:26:30;;RFAZAN;19.02.2014 22:45:54;CADI_LOC_INTERF_AFM;
3.4.W1;SALLE BLANCHE;3-4;LABO DE PHYSIQUE, ELECTROTECHNIQUE;13.11.2006 11:36:51;;RFAZAN;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
3.4.V;SALLE GRISE;3-4;LABO DE PHYSIQUE, ELECTROTECHNIQUE;13.11.2006 11:37:12;;RFAZAN;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
3.5.W1;SALLE BLANCHE;3-5;LABO CHIMIE, BACTERIOLOGIE, MORPHOLOGIE;13.11.2006 11:37:31;;RFAZAN;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
3.5.V;SALLE GRISE;3-5;LABO CHIMIE, BACTERIOLOGIE, MORPHOLOGIE;13.11.2006 11:37:49;;RFAZAN;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
3.3.W1;SALLE BLANCHE;3-3;LABORATOIRES DE TECHNOLOGIE;13.11.2006 12:51:54;;RFAZAN;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
3.3.V;SALLE GRISE;3-3;LABORATOIRES DE TECHNOLOGIE;13.11.2006 12:52:14;;RFAZAN;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
4.5.M;RESTAURATION MOBILE;4-5;LOCAUX DE VENTE;16.11.2006 17:12:47;;RFAZAN;29.03.2007 15:56:03;CADI_LOC_INTERF_AFM;
3.3.W2;SALLE BLANCHE;3-3;LABORATOIRES DE TECHNOLOGIE;21.11.2006 14:18:09;;RFAZAN;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
3.3.W3;SALLE BLANCHE;3-3;LABORATOIRES DE TECHNOLOGIE;21.11.2006 14:20:31;;RFAZAN;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
